종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
티에스이,신규상장,45000,2011-01-05,3248298,23.13,9.3,5.5,-19.88,-14.73,381.05,292.82,13.15,,5.56,9.16,60302027,5821474,4133826,77285896,11136972,-9549785,-12.77,-68.22
알서포트,신규상장,2500,2011-01-05,8620001,,,,,,,,,,,,,,,,,,,
씨그널엔터테인먼트그룹,신규상장,8500,2011-01-24,3400000,12.46,5.85,18.1,76.1,95.98,400.14,332.43,33.01,26.62,5.75,20.69,40966458,3467482,2618628,15592350,2769469,-7102935,-8.89,-69.49
다나와,신규상장,14000,2011-01-24,6600000,100,35.89,41.76,24.53,28.32,511.69,511.69,31.3,215.55,7.42,,17075146,6360063,5517438,15529520,6579067,-9149947,31.21,24.48
블루콤,신규상장,12000,2011-01-26,9600000,16.22,8.07,16.1,41.23,226.32,985.43,885.48,5.52,,4.62,20.83,78762720,7508151,9494469,62885025,7366077,-21309391,61.32,147.32
인트론바이오,신규상장,6100,2011-01-26,9163333,57.24,19.35,21.05,42.55,369.63,201.2,183.84,84.84,3.98,3.44,14.84,7833064,1154920,1205580,7069156,1938975,3964637,29.63,27.83
엘비세미콘,신규상장,4700,2011-01-31,43274592,32.12,27.81,74.65,51.32,103.88,56.5,42.78,238.54,5.29,6.35,13.62,57299493,12418671,12418671,21416292,21301164,39630765,89.69,1083.75
제이엔케이히터,신규상장,13600,2011-01-31,8000000,19.87,14.9,43.12,27.24,144.45,199.63,196.93,78.14,75.62,7.24,158.64,84201468,11791346,9787725,26755258,12929825,-18136718,2.88,39.35
딜리,신규상장,8000,2011-01-31,5470000,41.49,21.89,23.45,-10.24,-22.66,920.37,805.18,8.43,,20.16,10.75,23058750,5395357,4753020,22264679,5271679,-12931387,19.2,59.93
케이아이엔엑스,신규상장,8000,2011-02-08,4800000,37.88,15.96,13.6,16.2,15.82,705.46,704.48,7.9,,8.53,2260.03,14995303,2885908,2243167,17808880,3949939,-7399866,35.85,-10.76
티피씨글로벌,신규상장,5200,2011-02-08,5610345,17.81,7.39,18.12,4.03,-20.95,161.14,122.02,54.25,5.42,6.35,11.07,33170984,3851451,3738338,22500131,3578451,3225542,11.68,3.21
나노신소재,신규상장,17000,2011-02-09,7116000,46.84,25.86,31.06,63.39,46.29,214.15,62.22,115.52,8.95,5.03,1.67,19977208,5141001,4649100,17447908,6553192,15575043,40.37,93.25
부스타,신규상장,4200,2011-02-23,8160000,21.3,7.04,14.44,3.42,96.45,313.31,238.41,31.69,751.87,4.9,7.76,56728668,5044183,4205111,31050610,4935513,-10439800,3.42,9166.04
티케이케미칼,신규상장,5000,2011-04-26,90000000,12.43,8.08,41.49,13.49,41.83,75.24,64.02,217.52,11.1,25.55,34.6,882043328,58859864,46023363,133934786,91029118,23237197,9.37,82.36
이퓨쳐,신규상장,6400,2011-04-27,3635000,62.97,26.64,29.87,15.24,14.27,715.35,582.74,34.48,20.92,3.13,5,12340512,3336098,2707176,10423446,3341750,-4082948,33.17,21.65
골프존뉴딘홀딩스,신규상장,85000,2011-05-20,12283023,55.6,33.8,54.86,38.48,19.51,726.78,715.3,13.78,,40.42,128.07,184308070,70559715,67107689,160205886,65184017,-64065301,31.84,14.52
KMH,신규상장,9500,2011-05-25,12375360,53.46,33.85,39.66,47.22,41.45,187.84,185.65,26.41,377.95,8.32,468.14,27858092,9683392,7346079,22259604,12503601,-5194198,75.98,78.52
엘아이에스,신규상장,34000,2011-06-02,3600000,29.13,18.85,85.99,294.25,454.79,130.68,102.49,176.58,27.44,6.18,13.68,50320267,9075028,8153214,13528166,10458084,-2352671,14.16,70.87
완리,신규상장,4100,2011-06-13,48696351,37.82,33.25,52.89,33.25,50.22,137.48,115.07,27.65,136.22,476.51,31.34,141010513,43477721,30823870,,48636192,-4041870,28.01,40.97
스카이이앤엠,신규상장,14000,2011-06-14,4270000,24.23,15.3,29.44,33.85,29.25,198.95,132.33,74.56,11.05,18.68,12.02,42007528,5956421,5142012,22133466,8840884,7592317,133.47,217.5
넥스트아이,신규상장,10000,2011-06-14,5810945,47.5,38.08,81.61,24.83,81.07,337.13,262.56,36.53,,5.67,6.34,17370770,6905982,7027027,12001356,6771419,-8815557,160.8,420.69
유니드코리아,신규상장,5800,2011-06-17,6800000,23.32,16.16,32.92,12.58,9.5,137.54,133.95,156.44,9.52,2.45,100.65,23089922,3133306,2502530,8858051,4032352,7102257,81.26,75.22
서연탑메탈,신규상장,6500,2011-06-24,11650000,13.03,10.35,23.85,54.92,96.96,245.38,235.42,39.77,63.13,3.08,79.24,86466845,10429489,8168199,38237310,9758110,818276,1.25,-1.23
대양전기공업,신규상장,9000,2011-07-08,9495300,21.57,14.07,17.52,1.5,5.45,193.65,173.92,36.4,81.23,5.92,21.84,87417115,12955600,9950138,61855488,13505892,-17214791,6.16,22.93
옵티시스,신규상장,7600,2011-07-12,5636000,48.4,24.93,26.48,48.72,151.4,447.64,365.51,47.22,17.81,7.6,6.74,16191573,3992840,3415818,14529698,4666546,-4179089,-20.18,-62.46
나이벡,신규상장,10000,2011-07-13,2935996,64.17,9.31,4.26,0.58,9.31,110.89,74.41,265.15,1.15,6.53,7.76,5270307,105089,141238,3538293,1092340,5960737,69.21,-55.91
상아프론테크,신규상장,6000,2011-07-21,12289470,17.59,7.95,10.65,52.51,50.91,182.38,129.71,68.7,12.29,6.34,12.91,97190078,6128089,5016421,49236669,13262894,12327162,2.18,174
시티랩스,신규상장,7100,2011-07-29,5100040,22.46,11.81,47.45,73.12,1645.47,130.03,122.44,63.17,21.39,11.75,104.31,49992514,5467601,4359485,12180199,6504009,634509,41.49,-84.59
제닉,신규상장,22000,2011-08-03,3922909,63.89,14.95,83.02,134.05,308.99,136.19,103.77,92.04,29.37,13.47,22.93,81891741,11858710,8908878,15435972,13893565,-1012344,154.73,328.55
아이씨디,신규상장,34000,2011-08-05,7721832,33.04,22.74,50.94,303.56,659.91,265.64,194.46,60.12,37.66,5.83,7.27,143149138,32443293,25661521,89705923,34704220,-32988392,324.69,2578.91
제이씨케미칼,신규상장,7200,2011-08-08,13340000,15.2,11.46,61.77,78.78,133.61,113.03,86.51,161.84,18.51,9.39,7.07,91186720,10694170,9782833,20729227,11852480,10538201,36.28,28.34
화진,신규상장,4300,2011-08-10,12100000,23.27,11.89,24.22,-1.41,100.54,102.37,79.68,98.58,5.43,5.59,15.5,41622148,5270559,4968936,21028345,7025130,8881637,3.79,754.19
원익피앤이,신규상장,8000,2011-09-27,6176000,26.72,10.78,29.77,73.36,68.11,132.63,73.56,113.94,22.04,16.72,4.4,38069756,4073473,3980627,15858842,4682585,-2373677,39.68,36.49
대한과학,신규상장,3000,2011-10-11,5525130,28.73,10.99,27.03,17.46,3.62,158.69,77.85,143.69,28.13,9.33,4.91,27864762,3066632,2630843,10917711,3553334,6512978,26.52,137.45
로보스타,신규상장,5800,2011-10-17,7800000,18.53,8.32,53.36,112.69,349.63,127.94,73.71,183.42,9.49,7.16,8.8,83081977,6626710,6938644,16473086,8286704,8618296,-25.56,11.36
케이맥,신규상장,14500,2011-10-25,6188500,47.95,24.9,33.51,62.18,426.29,163.1,141.04,73.69,11.07,2.27,10.89,26503150,5645864,5847743,20378484,8001804,10631013,-21.91,-74.88
원익테라세미콘,신규상장,13500,2011-11-01,8045902,29.99,15.21,46.23,321.25,4766.93,136.41,112.04,98.32,15.39,6.87,21.36,46766819,6507542,5855935,16133494,8232618,1594869,20.24,147.77
씨엔플러스,신규상장,11500,2011-11-02,4150001,20.47,11.6,35.19,44.51,-4.91,137.45,114.05,104.18,24.71,7,25.58,41519480,4526448,4681764,15983996,8179607,6953718,17.89,53.64
에스엠코어,신규상장,8500,2011-11-08,6643000,14.8,9.8,23.72,68.81,41.88,174.16,171.29,86.85,70.49,3,88.3,60532159,6001391,4811050,22690998,6506754,-948398,-13.66,133.52
씨큐브,신규상장,5750,2011-11-08,5500000,42.29,18.02,12.8,39.99,79.51,188.41,101.62,91.02,4.78,4.81,2.79,18194782,2203203,2340864,19462441,4906079,12553711,20.22,20.65
테크윙,신규상장,23000,2011-11-10,4771040,28.01,14.88,89.1,255.99,4065.48,117.33,67.86,181.01,8.2,4.53,4.18,74513918,9991401,13984366,26729999,12912097,17228645,-1.34,107.27
에이티세미콘,신규상장,2400,2011-11-11,46330294,30.65,21.55,28.51,18.55,67.71,24.12,24.12,185.81,2.54,9.81,,95583947,10307483,13925311,58771734,51518312,101554948,3.39,-24.87
쎄미시스코,신규상장,9500,2011-11-18,3600000,63.09,45.18,31.4,222.07,596.6,559.74,451.45,23.59,2794.7,7.99,5.69,10700438,4849976,3914491,14827564,5005844,-9819365,-60.82,-83.85
와이지엔터테인먼트,신규상장,34000,2011-11-23,4986157,46.25,23.11,63.84,25.44,39.97,176.9,162.36,63.73,,9.76,32.1,44772896,12696525,9768248,20351022,12069823,-10915353,92.65,433.59
이엠넷,신규상장,6400,2011-11-25,5500000,100,25.7,33.43,10.88,12.4,170.41,170.41,116.7,48.82,8.84,,22657151,5410079,4088700,14309999,6109990,-1112975,38.24,100.38
신진에스엠,신규상장,15000,2011-11-28,4500000,26.53,19.47,24.1,81.22,110.29,341.38,193.75,34.5,21.31,5.41,4.81,37817662,7658043,6177351,28799548,9006882,-198506,-12.31,-31.45
에스에프씨,신규상장,14000,2011-11-30,6432621,23.31,16.76,57.02,52.82,145.19,205.88,133.9,89.95,28.55,23.43,9.58,88933657,10933889,8754973,19715906,15561461,621949,44.98,33.33
비덴트,신규상장,12000,2011-12-01,5250000,48.41,29.27,25.68,38.83,29.2,284.45,130.15,29.6,36.07,6.69,3.29,24009910,7106882,5607777,24800186,7718871,232106,18.75,39.61
키네마스터,신규상장,6000,2011-12-02,6625551,75.75,44.2,57.36,50.09,53.86,675.27,675.27,21.24,1910.91,3.66,,12486318,5656709,4715450,10686453,5686167,-8805057,,
파인넥스,신규상장,65000,2011-12-05,5995369,64.68,59.95,132.19,523.05,3427.38,177.83,131.62,70.28,21.22,33.78,12.92,75573223,42692079,40438071,51978933,48774155,2612839,29.6,-31.95
씨유메디칼,신규상장,12000,2011-12-15,4780806,59.55,31.16,29.6,32.43,118.97,716.26,491.74,31.38,36.08,2.83,4.02,17350796,5226419,4977439,19652187,6257674,910128,28.13,159.39
서암기계공업,신규상장,3800,2011-12-19,12600000,20.78,10.69,12.53,82.87,272.38,273.44,216.01,37.44,34.11,5.73,8.33,32172933,3923331,3322986,28066055,5678885,-9783939,-53.57,-87.71
시큐브,신규상장,4900,2011-12-21,6200000,50.4,23.11,33.47,43.12,10.97,369.28,368.67,46.03,66.11,2.41,646.62,13075657,3161861,3083040,10754031,3269983,-3729938,52.09,272.11
나이스디앤비,신규상장,1700,2011-12-22,15400000,100,14.32,19.25,13.85,5.44,312.29,312.29,37.85,,15.92,,16298746,2455638.54,1874821.71,10279744,2500624.87,-3050850,32.07,74.27
디엔에이링크,신규상장,7700,2011-12-26,4115930,37.5,14.89,19.11,8.32,47.63,120.53,93.77,78.93,7.99,3.44,6.65,6336069.87,860055.75,861657.93,5093711.98,1473798.35,1520129.37,5.74,19.87
원익머트리얼즈,신규상장,27000,2011-12-28,5800000,36.04,22.61,26.52,12.02,25.33,165.67,109.58,45.74,29.76,12.73,7.77,66599985,14374476,11396269,49178271,18077927,-4180534,26.07,21.89
메지온,신규상장,24000,2012-01-20,8068000,100,71.85,99.41,32.19,35.01,469.97,469.97,26.96,,82.64,,24379124,19346971,16438043,24823771,17569978,-20132673,,
남화토건,신규상장,3000,2012-01-31,11740000,13.16,2.81,5.07,-8.83,-70.54,285.83,285.83,22.39,,37.61,24030.57,49863428,4423014,4137891,83472685,1557474,-27681836,-5.17,138.19
뉴로스,신규상장,8500,2012-02-15,4191242,54.93,20.35,38.52,32.53,66.7,165.48,147.11,100.88,7.1,1.97,11.77,30213304,5820608,6531672,20391292,7135029,5975582,38.08,97.87
사람인에이치알,신규상장,5000,2012-02-21,8800000,40.74,8.14,36.71,53.28,255.48,143.21,143.21,150.48,25.03,16.04,,31362632,2607630,2029765,6898243,3365178,-5097996,,
빛샘전자,신규상장,4400,2012-03-21,5000000,29.77,13.93,18.82,13.06,17.3,531.46,442.82,16.05,19540.32,4.87,13.4,29170544,4471875,4147383,23904511,4676274,-8768093,8.47,34.55
비아트론,신규상장,15900,2012-05-04,9931870,38.03,22.53,59.19,117.67,42.54,369.54,367.21,31.87,57.12,5.78,135.3,47131698,10749002,10220313,23817047,11212173,-5770434,244.77,397.12
피엔티,신규상장,17000,2012-07-06,3209547,19.98,14.6,41.79,61.35,81.1,145.95,70.03,123.02,18.64,5.04,4.34,76392858,10853860,8902846,24067785,11622446,10129840,30.39,73.61
디지탈옵틱,신규상장,11500,2012-07-13,5393177,19.45,14.54,,,,117.75,103.11,164.34,12.81,,,58378017,6826746,5546860,19913167,10865357,4999292,127.19,576.49
네이블,신규상장,9000,2012-07-19,4326601,50.43,18.58,35.96,14.15,130.74,269.11,265.52,55.64,29.38,3.07,138.43,20770504,4112840,3690235,12185738,4250801,-5098512,37.17,114.35
엠씨넥스,신규상장,15000,2012-07-25,5749271,14.08,7.48,32.67,48.39,77.03,113.31,83.16,233.32,3.51,5.12,9.34,215298745,13271845,11583225,41582993,20394250,39457281,48.61,56.03
우양에이치씨,신규상장,5500,2012-07-26,12090183,16.79,9.28,11.19,31.94,4.2,91.5,85.83,361.43,1.56,3.07,19.67,167839728.6,10447699.21,7089654.86,50534033.08,21129328.38,95249317.69,-5,-16.72
나노스,신규상장,7000,2012-08-02,7316920,19.46,11.81,,,,87.15,56.31,424.38,3.77,,,54799308,4884876,4191460,11298789,8495379,23308977,102.1,77.47
모다,신규상장,7000,2012-09-25,4908000,23.89,15.82,66.09,28.61,111.28,195.32,79.07,63.3,34.22,16.01,8.53,54010919,8249773,6526766,12658891,10114869,-1135241,356.26,252.1
코이즈,신규상장,7500,2012-09-27,6156166,33.39,21.38,,,,109.89,102.2,101.26,8.9,,,27778006,5614379,5118210,16230531,7569252,8152512,58.17,68.21
아바텍,신규상장,6300,2012-11-06,16000000,26.85,13.17,,,,167.91,152.07,27.04,38.33,,,47990116.14,7164632.87,6461154,51193918,9248155.91,-4183852.35,195.2,363.21
와이엠씨,신규상장,6000,2012-11-15,9731593,23.69,14.34,,,,251.63,154.96,124.97,11.15,,,42093382,5849612,5336835,12118802,7352827,3549441,,
맥스로텍,신규상장,7000,2012-11-16,5714280,21.85,15.58,38.97,54.68,131.3,98.93,97.65,229.31,3.32,2.8,104.08,45944636,6337337,5805431,17852695,9141160,25291427,83.45,157.39
디젠스,신규상장,1800,2012-11-22,18250000,14.46,5.85,,,,84.78,58.71,286.69,3.37,,,113461332,5751268,4993168,20374857,9732349,26795210,65.57,1057.67
우리로,신규상장,10300,2012-11-27,6742878,50.46,33.43,65.24,35.44,159.31,182.94,144.09,83.71,14.88,4.46,14.42,25780758,8871836,8075125,17141093,10334812,8500138,29.02,-25.81
SBI핀테크솔루션즈,신규상장,3600,2012-12-17,21365400,48.06,23.59,64.14,8,23.48,109.24,109.24,560.93,173.2,70.55,,67407794,15926171,9040214,18830308,16960794,-102913238,25.73,63.34
스킨앤스킨,신규상장,10000,2012-12-27,8074763,52.47,27.9,,,,253.22,194.53,63.1,15.47,,,16839055,4155683,4273398,12716120,5074827,2264566,,
포티스,신규상장,3900,2013-01-29,4977833,26.64,8.32,37.6,60.43,74.53,107.69,76.06,145.02,7.29,8.99,13.14,49498638,3569195,3433134,11005818,4945105,7614165,52.79,41.44
아이센스,신규상장,19000,2013-01-30,8969634,37.79,17.19,,,,251.95,151.83,39.18,23.35,,,52198327,8998354,7600639,59298768,12855806,2982145,3.09,-21.67
우리이앤엘,신규상장,4900,2013-02-05,32000000,14.12,12.05,,,,148.4,95.92,313.95,4.32,,,250297412,19890363.7,14578880,46672453.56,41695076.57,61876437.3,73.75,-73.4
아이원스,신규상장,4500,2013-02-07,8500000,40.94,15.91,31.89,-9.94,52.34,47.14,32.9,151.48,5.23,7.89,14.43,43595344,5809599,5159780,19554770,9487655,22931669,107.81,239.11
지디,신규상장,18000,2013-02-13,11934061,41.28,31.5,68.16,95.69,92.17,47.49,46.56,170,15.25,9.65,436,35683082,9866165,9381864,18965586,14321719,22639687,323.44,501.08
제로투세븐,신규상장,8300,2013-02-19,11540000,50.83,6.14,,,,122.61,46.96,251,49.7,,,205072123,11433170,5891459,22395561,13955290,4425286,15.18,-29.85
코렌텍,신규상장,16000,2013-03-05,7883661,30.96,-14.01,175.53,61.32,10.35,151.81,84.39,-707.08,-0.66,2.93,2.03,11881638,-3942111,-3942111,-5244726,12173,25331198,68.44,-43
윈팩,신규상장,4000,2013-03-07,14200000,20.36,15.39,24.28,12.12,-0.57,17.13,12.2,279.09,2.41,18.28,24.2,65494157,5589404,5400953,22734187,25098499,51004226,78.75,25797.39
참존글로벌,신규상장,7800,2013-04-03,4221000,35.84,29.2,50.24,27.16,33.8,200.09,151.7,73.09,434.31,4.88,6.35,24720052,7236138,5842058,14853520,7309241,-8885879,48.76,95.86
삼목강업,신규상장,2600,2013-04-30,10200000,14.83,7.49,12.49,5.33,-6.57,91.42,57.3,68.31,173.91,7.59,9.53,64681354,6227900,5393307,44817465,6021480,5029568,24.67,56.31
레고켐바이오,신규상장,15500,2013-05-10,5771250,67.94,-436.89,-71.43,843.48,-6.21,355.56,355.56,106.43,-1050.96,31.19,,744280,-2674458,-2674458,3354100,-3176531,-5438842,-70.81,0.75
엑세스바이오,신규상장,4500,2013-05-30,26000000,58.8,23,55.32,117.85,489.52,307.96,194.25,34.02,9.05,4.93,6.35,36997543,10874626,7451130,21707164,9056510,-964459,38.83,-33.05
나스미디어,신규상장,8800,2013-07-17,8246432,100,32.45,15.69,8.34,-2.77,182.12,182.12,107.87,,2.83,,23462889,8470221,6454270,43621857,7933584,-30402280,14.9,22.36
KG ETS,신규상장,3800,2013-07-24,36000000,20.44,16.61,13.2,109.6,86.7,54.22,49.54,116.88,5.1,4.77,25.5,93990321.66,12482848.23,9905649.25,78342959.32,23768162.5,59827019.48,,
파이오링크,신규상장,10500,2013-08-01,5142330,66.48,20.04,37.6,11.95,20.29,377.42,293.6,50.02,27.02,3.38,5.09,20156686,4074818,4887267,15382376,4476503,-2744695,18.73,72.96
GH신소재,신규상장,3100,2013-08-02,7000000,16.48,8,17.93,-2.64,-5.47,106.64,84.18,114.47,10.89,4.45,14.96,50542986,3737628,2954902,17886614,5543405,6526254,17.94,23.77
아미코젠,신규상장,25000,2013-09-12,4125000,49.51,35.78,35.97,122.67,1467.65,418.68,358.52,48.07,21.69,3.99,13.53,16309703.83,5502235.64,4601257.53,15907349.43,6562736.67,1701660.43,2.89,-80
지엔씨에너지,신규상장,6000,2013-10-02,4346667,11.72,6.8,17.49,2.03,-16.54,116.71,89.89,174.18,3.44,2.75,8.86,60453009.93,4514525.73,3629617.78,22593116.62,4633594.36,19362398.92,,
엘티씨,신규상장,20500,2013-10-08,6550000,22.81,12.35,43.53,-1.96,40.39,235.1,193.01,82.35,14.08,19.35,19.52,92876972,10162958,9478551,24181487,13430563,-1796775,301.44,86.05
파수,신규상장,5800,2013-10-18,7929695,69.38,19.51,,,,281.56,281.56,62.29,24.3,,,20257736,3837929,4321703,13480222,5492935,1508326,3.11,-10.62
테스나,신규상장,13500,2013-10-22,6850000,24.19,19.61,22.39,15.04,8.88,60.73,56.16,161.57,4.12,11.65,,55251160.43,7643445.29,7942388.76,39341879.39,29108441.08,46083354.92,58.65,54.54
내츄럴엔도텍,신규상장,40000,2013-10-31,5260120,56.64,23.66,66.52,93.5,116.4,218.26,193.94,77.14,1132.21,5.96,17.93,21632650,5243491,4393985,8951137,5172007,-4102181,115.44,1249
해성옵틱스,신규상장,6600,2013-11-06,16375000,21.86,14.86,,,,87.72,68.99,545.47,4.64,,,63283279,6174790,4937971,12641428,15591762,28931478,32.07,40.84
협진,신규상장,8100,2013-11-08,6000000,40.48,29.55,23.95,25.96,92.54,357.23,166.35,26.35,208,9.34,2.18,17769035,5626994,5080693,23827790,5797198,-6598014,3.08,-39.91
THE MIDONG,신규상장,20000,2013-11-13,3000000,18.24,13.09,86.17,205.69,182.95,337.36,315.96,42.92,,12.72,63.41,42342308,7986170,7459394,15139168,5571218,-12740876,514.3,10740.29
램테크놀러지,신규상장,3900,2013-11-18,6826647,18.5,8.39,20.16,37.71,85.3,73.63,36.66,162.59,2.56,13.81,6.38,42339918.38,3349542.54,2661934.68,16898260.99,5849600.38,19326993.4,,
라이온켐텍,신규상장,12500,2013-11-19,10163425,29.75,21.58,50.96,16.5,61.25,196.3,144.41,50.79,30.94,9.62,16.21,93342274,18111155,14826970,36315175,20681827,6895062,26.61,86.23
큐브엔터,신규상장,2000,2013-11-21,7000000,16.45,0.91,,,,127.44,127.44,167.26,,,,24448083,87732,14443,3939406,468205,-3155390,,
디엠티,신규상장,5700,2013-11-26,7500000,31.51,10.21,,,,357.94,311.95,46.85,775.18,,,90306897.05,9372652.43,8097647,31897463.73,10784942.71,-17321919.76,-36.56,-51.98
엔브이에이치코리아,신규상장,4500,2013-12-03,28722222,12.4,4.27,25.46,12.12,176.21,93.6,81.82,218.55,7.88,4.96,25.21,492658952,23901336,19143180,89837435,33355856,3704085,35.8,-19.08
현대공업,신규상장,7500,2013-12-04,10000000,13.54,8.65,,,,133.57,117.64,112.67,52.7,,,107227140,9209911,7346697,27232650,10514444,1547323,-12.37,22.21
알티캐스트,신규상장,8500,2013-12-06,18194997,100,21.08,13.79,4.46,12.36,173.74,173.7,155.56,1.07,2.43,3422.14,65274786.11,4401773.56,4499777.99,37076229.99,16856034.86,13573050.09,,
기가레인,신규상장,5500,2013-12-19,15963213,28.28,21.48,,,,67.86,47.63,201,7.98,,,56031606.95,10109563.61,8508534,26474927.49,14270082.98,34645843.85,133.71,305.84
인트로메딕,신규상장,6000,2013-12-19,6952178,75.04,17.01,,,,99.12,89.35,2107.68,1.73,,,8569156,451489,451489,620553,1761649,7371433,0.4,-26.71
SGA솔루션즈,신규상장,2000,2013-12-20,7000000,38.33,5.97,,,,109.39,102.75,119.06,35.06,,,10203369,515973,632057,5376470,1256020,406384,,
현대이지웰,신규상장,4400,2013-12-27,9893000,67.9,16.35,22.64,1.17,-17.32,104.36,98.33,109.72,42.55,25,35.91,26985935,3789282,2938338,15726823,5368652,-2943335,48.25,128.67
솔루에타,신규상장,24000,2013-12-27,5129925,31.85,17.78,,,,124.48,91.54,217.3,8.29,,,63495729.17,8526313.87,6827674,14072248,12795645.76,16668482.96,76.69,307.09
한국정보인증,신규상장,1800,2014-02-04,26965000,100,14.05,,,,193.55,191.28,50.64,,,,32021860,5098464,3991729,26994463,6362394,-16901097,10.22,35.93
인터파크,신규상장,7700,2014-02-06,32430190,11.02,1.38,3.52,481.78,326.97,139.22,130.07,106.33,3.36,7.45,50.68,2488616161,55804951.7,12496562.48,388844548.6,67722156.15,56594955.32,14.6,1.12
오이솔루션,신규상장,10000,2014-02-27,5179610,25.03,9.74,68.53,39.06,73.79,164.99,124.9,296.39,4.68,7.43,7.35,66602748,5322211,5147316,10286518,8194170,-4910049,,
케이사인,신규상장,2000,2014-04-28,7715100,100,26.18,,,,329.88,323.44,38.35,76.97,,,20677839.14,5763007.42,5037241,18475005.58,5989649.62,-12044293.1,50.68,113.15
